,system_time_stamp,triggers,trigger_n,occ,device_time_stamp,left_gaze_point_in_user_coordinate_system_x,right_gaze_point_in_user_coordinate_system_x,left_gaze_point_in_user_coordinate_system_y,right_gaze_point_in_user_coordinate_system_y,left_pupil_diameter,trigger_indx,trial_id,change_indx,xL_zscore,xR_zscore,yL_zscore,yR_zscore
25596,7157439469,,2,,254984098867.0,24.899444580078125,-18.603469848632812,163.91098022460938,175.80661010742188,-1.0,827,166,0.0,1.162114953882389,0.61599328505576,-0.216507484336725,0.18832436132143615
25597,7157464474,,2,,254984123872.0,19.195587158203125,-19.700149536132812,161.5430908203125,174.1191864013672,-1.0,827,166,0.0,0.9153314653099367,0.5697054245538777,-0.3445604714908177,0.1381076231977599
25598,7157489472,,2,,254984148871.0,31.2642822265625,-19.780914306640625,161.10304260253906,174.45416259765625,-1.0,827,166,0.0,1.437496458436258,0.5662965637230053,-0.36835781974343,0.14807631799940082
25599,7157514459,,2,,254984173859.0,21.96331787109375,-22.957290649414062,152.44052124023438,172.88987731933594,-1.0,827,166,0.0,1.0350802932060834,0.4322303758181838,-0.8368179322454502,0.10152410714075634
25600,7157539456,,2,,254984198856.0,14.796417236328125,-21.170944213867188,154.0894012451172,171.21804809570312,-1.0,827,166,0.0,0.7249966760882178,0.5076271900011112,-0.7476482228406326,0.051771451652131206
25601,7157564470,,2,,254984223871.0,16.506072998046875,-18.987197875976562,155.4333038330078,172.346435546875,-1.0,827,166,0.0,0.7989667601784777,0.5997971709097597,-0.6749713737820462,0.08535159926664158
25602,7157589470,,2,,254984248871.0,19.4625244140625,-21.639434814453125,151.71331787109375,170.65203857421875,-1.0,827,166,0.0,0.9268807910308589,0.48785347866722195,-0.8761443313238856,0.03492734082572624
25603,7157614449,,2,,254984273851.0,8.6998291015625,-21.195449829101562,145.75,166.3385772705078,-1.0,827,166,0.0,0.4612212734077802,0.5065928747745136,-1.1986343367089514,-0.09343873339608706
25604,7157639446,,2,,254984298849.0,15.9654541015625,-19.52874755859375,143.48114013671875,164.119384765625,-1.0,827,166,0.0,0.7755763057202478,0.5769398348529878,-1.321331909661461,-0.15948059855648658
25605,7157664445,,2,,254984323848.0,13.203399658203125,-24.106002807617188,149.47572326660156,160.66973876953125,-1.0,827,166,0.0,0.656073067693095,0.3837463665474984,-0.9971511117187614,-0.262140036718732
25606,7157689453,,2,,254984348857.0,14.32861328125,-21.281463623046875,151.60289001464844,163.03732299804688,-1.0,827,166,0.0,0.7047566379064394,0.5029624669710698,-0.8821161545252502,-0.19168212104378055
25607,7157714438,,2,,254984373843.0,13.033416748046875,-21.122726440429688,155.2444305419922,161.6398162841797,-1.0,827,166,0.0,0.6487185753796691,0.5096623307956619,-0.6851854441960978,-0.2332710998074068
