"","left","right","left_selected","right_selected","right_rew_dbl","left_rew_dbl","stim1","stim2","trigger_integer","block","trial_n","trial_id","right_rew","left_rew","typeOfChoice","correct"
"92","p_4.png","b_4.png","p_4_d.png","b_4_d.png",62,65,2,1,21,4,92,632,"6 2","6 5",1,NA
"93","b_4.png","g_4.png","b_4_d.png","g_4_d.png",42,40,1,4,14,4,93,633,"4 2","4 0",3,0
"94","y_4.png","p_4.png","y_4_d.png","p_4_d.png",67,40,3,2,32,4,94,634,"6 7","4 0",4,1
"95","p_4.png","g_4.png","p_4_d.png","g_4_d.png",45,59,2,4,24,4,95,635,"4 5","5 9",5,0
"96","p_4.png","b_4.png","p_4_d.png","b_4_d.png",82,60,2,1,21,4,96,636,"8 2","6 0",1,NA
"97","g_4.png","y_4.png","g_4_d.png","y_4_d.png",61,37,4,3,43,4,97,637,"6 1","3 7",6,NA
"98","y_4.png","b_4.png","y_4_d.png","b_4_d.png",33,46,3,1,31,4,98,638,"3 3","4 6",2,1
"99","g_4.png","y_4.png","g_4_d.png","y_4_d.png",31,42,4,3,43,4,99,639,"3 1","4 2",6,NA
"100","p_4.png","g_4.png","p_4_d.png","g_4_d.png",37,63,2,4,24,4,100,640,"3 7","6 3",5,0
"101","p_4.png","g_4.png","p_4_d.png","g_4_d.png",34,54,2,4,24,4,101,641,"3 4","5 4",5,0
"102","p_4.png","b_4.png","p_4_d.png","b_4_d.png",64,59,2,1,21,4,102,642,"6 4","5 9",1,NA
"103","y_4.png","g_4.png","y_4_d.png","g_4_d.png",47,55,3,4,34,4,103,643,"4 7","5 5",6,NA
"104","g_4.png","y_4.png","g_4_d.png","y_4_d.png",43,48,4,3,43,4,104,644,"4 3","4 8",6,NA
"105","y_4.png","b_4.png","y_4_d.png","b_4_d.png",89,16,3,1,31,4,105,645,"8 9","1 6",2,1
"106","p_4.png","b_4.png","p_4_d.png","b_4_d.png",45,63,2,1,21,4,106,646,"4 5","6 3",1,NA
"107","p_4.png","b_4.png","p_4_d.png","b_4_d.png",29,65,2,1,21,4,107,647,"2 9","6 5",1,NA
"108","g_4.png","p_4.png","g_4_d.png","p_4_d.png",60,45,4,2,42,4,108,648,"6 0","4 5",5,1
"109","g_4.png","p_4.png","g_4_d.png","p_4_d.png",59,46,4,2,42,4,109,649,"5 9","4 6",5,1
"110","g_4.png","b_4.png","g_4_d.png","b_4_d.png",64,36,4,1,41,4,110,650,"6 4","3 6",3,1
"111","y_4.png","p_4.png","y_4_d.png","p_4_d.png",64,24,3,2,32,4,111,651,"6 4","2 4",4,1
"112","y_4.png","p_4.png","y_4_d.png","p_4_d.png",62,44,3,2,32,4,112,652,"6 2","4 4",4,1
"113","g_4.png","p_4.png","g_4_d.png","p_4_d.png",58,48,4,2,42,4,113,653,"5 8","4 8",5,1
"114","b_4.png","p_4.png","b_4_d.png","p_4_d.png",66,53,1,2,12,4,114,654,"6 6","5 3",1,NA
"115","y_4.png","b_4.png","y_4_d.png","b_4_d.png",43,37,3,1,31,4,115,655,"4 3","3 7",2,1
"116","b_4.png","p_4.png","b_4_d.png","p_4_d.png",62,91,1,2,12,4,116,656,"6 2","9 1",1,NA
"117","b_4.png","g_4.png","b_4_d.png","g_4_d.png",37,61,1,4,14,4,117,657,"3 7","6 1",3,0
"118","g_4.png","y_4.png","g_4_d.png","y_4_d.png",22,41,4,3,43,4,118,658,"2 2","4 1",6,NA
"119","y_4.png","g_4.png","y_4_d.png","g_4_d.png",44,66,3,4,34,4,119,659,"4 4","6 6",6,NA
"120","y_4.png","p_4.png","y_4_d.png","p_4_d.png",65,35,3,2,32,4,120,660,"6 5","3 5",4,1
"121","p_4.png","g_4.png","p_4_d.png","g_4_d.png",33,58,2,4,24,4,121,661,"3 3","5 8",5,0
"122","p_4.png","y_4.png","p_4_d.png","y_4_d.png",25,60,2,3,23,4,122,662,"2 5","6 0",4,0
"123","b_4.png","y_4.png","b_4_d.png","y_4_d.png",45,44,1,3,13,4,123,663,"4 5","4 4",2,0
"124","y_4.png","g_4.png","y_4_d.png","g_4_d.png",39,50,3,4,34,4,124,664,"3 9","5 0",6,NA
"125","b_4.png","p_4.png","b_4_d.png","p_4_d.png",67,75,1,2,12,4,125,665,"6 7","7 5",1,NA
"126","y_4.png","b_4.png","y_4_d.png","b_4_d.png",57,30,3,1,31,4,126,666,"5 7","3 0",2,1
"127","p_4.png","g_4.png","p_4_d.png","g_4_d.png",41,52,2,4,24,4,127,667,"4 1","5 2",5,0
"128","p_4.png","y_4.png","p_4_d.png","y_4_d.png",53,66,2,3,23,4,128,668,"5 3","6 6",4,0
"129","b_4.png","y_4.png","b_4_d.png","y_4_d.png",49,57,1,3,13,4,129,669,"4 9","5 7",2,0
"130","b_4.png","g_4.png","b_4_d.png","g_4_d.png",38,62,1,4,14,4,130,670,"3 8","6 2",3,0
"131","y_4.png","g_4.png","y_4_d.png","g_4_d.png",43,58,3,4,34,4,131,671,"4 3","5 8",6,NA
"132","g_4.png","b_4.png","g_4_d.png","b_4_d.png",72,33,4,1,41,4,132,672,"7 2","3 3",3,1
"133","p_4.png","y_4.png","p_4_d.png","y_4_d.png",36,56,2,3,23,4,133,673,"3 6","5 6",4,0
"134","y_4.png","g_4.png","y_4_d.png","g_4_d.png",42,49,3,4,34,4,134,674,"4 2","4 9",6,NA
"135","b_4.png","g_4.png","b_4_d.png","g_4_d.png",47,34,1,4,14,4,135,675,"4 7","3 4",3,0
"136","g_4.png","y_4.png","g_4_d.png","y_4_d.png",19,46,4,3,43,4,136,676,"1 9","4 6",6,NA
"137","b_4.png","y_4.png","b_4_d.png","y_4_d.png",17,59,1,3,13,4,137,677,"1 7","5 9",2,0
"138","b_4.png","g_4.png","b_4_d.png","g_4_d.png",38,36,1,4,14,4,138,678,"3 8","3 6",3,0
"139","y_4.png","p_4.png","y_4_d.png","p_4_d.png",64,33,3,2,32,4,139,679,"6 4","3 3",4,1
"140","y_4.png","g_4.png","y_4_d.png","g_4_d.png",37,31,3,4,34,4,140,680,"3 7","3 1",6,NA
"141","y_4.png","p_4.png","y_4_d.png","p_4_d.png",70,60,3,2,32,4,141,681,"7 0","6 0",4,1
"142","b_4.png","g_4.png","b_4_d.png","g_4_d.png",40,56,1,4,14,4,142,682,"4 0","5 6",3,0
"143","g_4.png","y_4.png","g_4_d.png","y_4_d.png",25,45,4,3,43,4,143,683,"2 5","4 5",6,NA
"144","y_4.png","g_4.png","y_4_d.png","g_4_d.png",39,28,3,4,34,4,144,684,"3 9","2 8",6,NA
"145","g_4.png","p_4.png","g_4_d.png","p_4_d.png",50,40,4,2,42,4,145,685,"5 0","4 0",5,1
"146","b_4.png","p_4.png","b_4_d.png","p_4_d.png",62,38,1,2,12,4,146,686,"6 2","3 8",1,NA
"147","b_4.png","g_4.png","b_4_d.png","g_4_d.png",38,84,1,4,14,4,147,687,"3 8","8 4",3,0
"148","b_4.png","p_4.png","b_4_d.png","p_4_d.png",66,63,1,2,12,4,148,688,"6 6","6 3",1,NA
"149","b_4.png","y_4.png","b_4_d.png","y_4_d.png",48,45,1,3,13,4,149,689,"4 8","4 5",2,0
"150","g_4.png","y_4.png","g_4_d.png","y_4_d.png",28,35,4,3,43,4,150,690,"2 8","3 5",6,NA
"151","b_4.png","p_4.png","b_4_d.png","p_4_d.png",72,47,1,2,12,4,151,691,"7 2","4 7",1,NA
"152","y_4.png","b_4.png","y_4_d.png","b_4_d.png",67,18,3,1,31,4,152,692,"6 7","1 8",2,1
"153","y_4.png","g_4.png","y_4_d.png","g_4_d.png",46,50,3,4,34,4,153,693,"4 6","5 0",6,NA
"154","y_4.png","g_4.png","y_4_d.png","g_4_d.png",34,53,3,4,34,4,154,694,"3 4","5 3",6,NA
"155","b_4.png","y_4.png","b_4_d.png","y_4_d.png",40,76,1,3,13,4,155,695,"4 0","7 6",2,0
"156","p_4.png","y_4.png","p_4_d.png","y_4_d.png",45,50,2,3,23,4,156,696,"4 5","5 0",4,0
"157","g_4.png","b_4.png","g_4_d.png","b_4_d.png",51,46,4,1,41,4,157,697,"5 1","4 6",3,1
"158","y_4.png","p_4.png","y_4_d.png","p_4_d.png",61,39,3,2,32,4,158,698,"6 1","3 9",4,1
"159","p_4.png","b_4.png","p_4_d.png","b_4_d.png",83,68,2,1,21,4,159,699,"8 3","6 8",1,NA
"160","b_4.png","g_4.png","b_4_d.png","g_4_d.png",34,93,1,4,14,4,160,700,"3 4","9 3",3,0
"161","y_4.png","b_4.png","y_4_d.png","b_4_d.png",73,59,3,1,31,4,161,701,"7 3","5 9",2,1
"162","b_4.png","y_4.png","b_4_d.png","y_4_d.png",55,70,1,3,13,4,162,702,"5 5","7 0",2,0
"163","g_4.png","b_4.png","g_4_d.png","b_4_d.png",58,45,4,1,41,4,163,703,"5 8","4 5",3,1
"164","p_4.png","y_4.png","p_4_d.png","y_4_d.png",44,58,2,3,23,4,164,704,"4 4","5 8",4,0
